============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 06 2021  09:18:39 am
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpbc0d88 120
                          tcbn45gsbwpbc0d880d88 120
                          tcbn45gsbwpbc0d880d99 120
                          tcbn45gsbwpbc0d881d1 120
                          physical_cells 
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     
     Gate      Instances     Area           Library       
NR2XD8BWP              1       7.585    tcbn45gsbwpbc0d88 
NR3D0BWP              19      20.110    tcbn45gsbwpbc0d88 
NR4D0BWP              86     106.193    tcbn45gsbwpbc0d88 
NR4D1BWP               3       6.350    tcbn45gsbwpbc0d88 
OA211D1BWP           119     167.933    tcbn45gsbwpbc0d88 
OA21D0BWP              2       2.470    tcbn45gsbwpbc0d88 
OA21D1BWP            111     137.063    tcbn45gsbwpbc0d88 
OA221D1BWP             6      11.642    tcbn45gsbwpbc0d88 
OA222D1BWP             1       2.117    tcbn45gsbwpbc0d88 
OA22D1BWP            211     334.984    tcbn45gsbwpbc0d88 
OA31D1BWP              2       2.822    tcbn45gsbwpbc0d88 
OA32D1BWP              2       3.881    tcbn45gsbwpbc0d88 
OAI211D1BWP           41      50.627    tcbn45gsbwpbc0d88 
OAI21D0BWP             1       1.058    tcbn45gsbwpbc0d88 
OAI21D1BWP           808     855.187    tcbn45gsbwpbc0d88 
OAI21D2BWP            16      25.402    tcbn45gsbwpbc0d88 
OAI21D4BWP             4      12.701    tcbn45gsbwpbc0d88 
OAI221D1BWP          216     342.922    tcbn45gsbwpbc0d88 
OAI222D1BWP            3       5.821    tcbn45gsbwpbc0d88 
OAI22D1BWP         16698   20618.690    tcbn45gsbwpbc0d88 
OAI31D1BWP            15      18.522    tcbn45gsbwpbc0d88 
OAI32D1BWP             3       4.234    tcbn45gsbwpbc0d88 
OR2D1BWP             453     479.455    tcbn45gsbwpbc0d88 
OR2D2BWP              17      20.992    tcbn45gsbwpbc0d88 
OR2D4BWP               7      14.818    tcbn45gsbwpbc0d88 
OR2D8BWP               2       7.056    tcbn45gsbwpbc0d88 
OR2XD1BWP            378     400.075    tcbn45gsbwpbc0d88 
OR3D1BWP              14      17.287    tcbn45gsbwpbc0d88 
OR3XD1BWP              2       2.470    tcbn45gsbwpbc0d88 
OR4D1BWP              18      25.402    tcbn45gsbwpbc0d88 
OR4XD1BWP              1       1.411    tcbn45gsbwpbc0d88 
SDFCNQD1BWP           66     349.272    tcbn45gsbwpbc0d88 
SDFKCSNQD0BWP          1       5.821    tcbn45gsbwpbc0d88 
SDFQD1BWP              1       4.763    tcbn45gsbwpbc0d88 
XNR2D0BWP            775    1367.100    tcbn45gsbwpbc0d88 
XNR2D1BWP          19984   35251.776    tcbn45gsbwpbc0d88 
XNR2D2BWP             19      36.868    tcbn45gsbwpbc0d88 
XNR3D0BWP              5      15.876    tcbn45gsbwpbc0d88 
XNR3D1BWP            323    1025.590    tcbn45gsbwpbc0d88 
XNR4D1BWP             13      59.623    tcbn45gsbwpbc0d88 
XOR2D1BWP            314     553.896    tcbn45gsbwpbc0d88 
XOR2D2BWP             23      44.629    tcbn45gsbwpbc0d88 
XOR3D0BWP             88     279.418    tcbn45gsbwpbc0d88 
XOR3D1BWP            614    1949.573    tcbn45gsbwpbc0d88 
XOR3D2BWP             14      49.392    tcbn45gsbwpbc0d88 
XOR3D4BWP              1       5.292    tcbn45gsbwpbc0d88 
XOR4D1BWP             36     165.110    tcbn45gsbwpbc0d88 
----------------------------------------------------------
total             168785  421747.528                      


                                                         
            Type             Instances    Area    Area % 
---------------------------------------------------------
sequential                       44753 163344.107   38.7 
inverter                          8378   7303.489    1.7 
buffer                            7874   9673.247    2.3 
clock_gating_integrated_cell       398   1333.937    0.3 
unresolved                           2      0.000    0.0 
logic                           107382 240092.748   56.9 
physical_cells                       0      0.000    0.0 
---------------------------------------------------------
total                           168787 421747.528  100.0 

