============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 05 2021  04:51:22 pm
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpbc0d88 120
                          tcbn45gsbwpbc0d880d88 120
                          tcbn45gsbwpbc0d880d99 120
                          tcbn45gsbwpbc0d881d1 120
                          physical_cells 
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                    Module                        Cell Count  Cell Area   Net Area   Total Area 
--------------------------------------------------------------------------------------------------------------------------------------
      Ca[0].Ga[0].Ua[6].Ma[13].ACC  accumulator_raw_97                                         100    306.230    118.121      424.351 
      Ca[0].Ga[0].Ua[3].Ma[13].ACC  accumulator_raw_55                                         100    306.230    118.121      424.351 
      Ca[0].Ga[0].Ua[2].Ma[13].ACC  accumulator_raw_41                                         100    306.230    118.121      424.351 
      Ca[0].Ga[0].Ua[1].Ma[13].ACC  accumulator_raw_27                                         100    306.230    118.121      424.351 
      Ca[0].Ga[0].Ua[11].Ma[13].ACC accumulator_raw_167                                         99    305.172    111.535      416.707 
      Ca[0].Ga[0].Ua[10].Ma[13].ACC accumulator_raw_153                                         99    305.172    111.535      416.707 
      Ca[0].Ga[0].Ua[8].Ma[13].ACC  accumulator_raw_125                                         99    305.172    111.535      416.707 
      Ca[0].Ga[0].Ua[9].Ma[12].ACC  accumulator_raw_138                                         74    217.325     83.651      300.976 
      Ca[0].Ga[0].Ua[13].Ma[2].ACC  accumulator_raw_184                                         74    217.325     82.138      299.462 
      Ca[0].Ga[0].Ua[10].Ma[11].ACC accumulator_raw_151                                         74    217.325     82.138      299.462 
      Ca[0].Ga[0].Ua[10].Ma[8].ACC  accumulator_raw_148                                         74    217.325     82.138      299.462 
      Ca[0].Ga[0].Ua[10].Ma[2].ACC  accumulator_raw_142                                         74    217.325     82.138      299.462 
      Ca[0].Ga[0].Ua[10].Ma[1].ACC  accumulator_raw_141                                         74    217.325     82.138      299.462 
      Ca[0].Ga[0].Ua[9].Ma[10].ACC  accumulator_raw_136                                         74    217.325     82.138      299.462 
      Ca[0].Ga[0].Ua[7].Ma[5].ACC   accumulator_raw_103                                         74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[6].Ma[11].ACC  accumulator_raw_95                                          74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[6].Ma[1].ACC   accumulator_raw_85                                          74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[6].Ma[0].ACC   accumulator_raw_84                                          74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[5].Ma[9].ACC   accumulator_raw_79                                          74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[5].Ma[7].ACC   accumulator_raw_77                                          74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[5].Ma[6].ACC   accumulator_raw_76                                          74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[5].Ma[0].ACC   accumulator_raw_70                                          74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[4].Ma[6].ACC   accumulator_raw_62                                          74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[4].Ma[3].ACC   accumulator_raw_59                                          74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[3].Ma[9].ACC   accumulator_raw_51                                          74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[3].Ma[8].ACC   accumulator_raw_50                                          74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[3].Ma[5].ACC   accumulator_raw_47                                          74    217.325     80.119      297.444 
      Ca[0].Ga[0].Ua[3].Ma[4].ACC   accumulator_raw_46                                          74    217.325     80.119      297.444 
