============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 08 2021  03:22:33 am
  Module:                 axis_accelerator_asic
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                                Leakage      Dynamic        Total     
               Instance                 Cells  Power(nW)    Power(nW)     Power(nW)   
      Ca[0].Ga[0..8].Ma[13].ACC           132    4954.163    283460.568    288414.731 
        add_31_23                          56    2827.069    114511.099    117338.168 
          RC_CG_HIER_INST273                1      34.558      4579.742      4614.300 
        RC_CG_HIER_INST271                  1      34.743      9793.382      9828.125 
        RC_CG_HIER_INST272                  1      34.558      4579.742      4614.300 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..7].Ma[13].ACC           134    4871.814    282962.740    287834.554 
        add_31_23                          58    2724.216    114033.914    116758.130 
          RC_CG_HIER_INST244                1      34.558      4579.742      4614.300 
        RC_CG_HIER_INST242                  1      34.743      9793.374      9828.117 
        RC_CG_HIER_INST243                  1      34.558      4579.742      4614.300 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..0].Ma[13].ACC           132    4852.025    281890.734    286742.759 
        add_31_23                          56    2724.925    112942.268    115667.193 
          RC_CG_HIER_INST331                1      34.558      4579.742      4614.300 
        RC_CG_HIER_INST329                  1      34.743      9793.382      9828.125 
        RC_CG_HIER_INST330                  1      34.558      4579.742      4614.300 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..3].Ma[13].ACC           133    4836.941    282682.185    287519.125 
        add_31_23                          57    2717.863    113204.747    115922.611 
          RC_CG_HIER_INST418                1      34.558      4579.742      4614.300 
        RC_CG_HIER_INST416                  1      34.743      9793.374      9828.117 
        RC_CG_HIER_INST417                  1      34.558      4579.742      4614.300 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..0].Ma[13].ACC           133    4833.309    282937.329    287770.638 
        add_31_23                          57    2705.880    113783.463    116489.343 
          RC_CG_HIER_INST41                 1      34.558      4561.883      4596.441 
        RC_CG_HIER_INST39                   1      34.743      9793.374      9828.117 
        RC_CG_HIER_INST40                   1      34.558      4561.883      4596.441 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
