============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 03 2021  09:10:51 pm
  Module:                 axis_conv_engine
  Operating conditions:   BCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         Leakage      Dynamic       Total    
            Instance             Cells  Power(nW)    Power(nW)    Power(nW)  
    Ca[1].Ga[0..[2].Ma[6].ACC        0       0.000  1349448.082  1349448.082 
    Ca[1].Ga[0..[2].Ma[7].ACC        0       0.000  1349513.933  1349513.933 
    Ca[1].Ga[0..[2].Ma[8].ACC        0       0.000  1349368.321  1349368.321 
    Ca[1].Ga[0..[2].Ma[9].ACC        0       0.000  1349615.261  1349615.261 
    Ca[1].Ga[0..2].Ma[10].ACC        0       0.000  1349482.028  1349482.028 
    Ca[1].Ga[0..2].Ma[11].ACC        0       0.000  1348057.438  1348057.438 
    Ca[1].Ga[0..[3].Ma[0].ACC        0       0.000  1349039.069  1349039.069 
    Ca[1].Ga[0..[3].Ma[1].ACC        0       0.000  1349430.599  1349430.599 
    Ca[1].Ga[0..[3].Ma[2].ACC        0       0.000  1349438.256  1349438.256 
    Ca[1].Ga[0..[3].Ma[3].ACC        0       0.000  1349590.503  1349590.503 
    Ca[1].Ga[0..[3].Ma[4].ACC        0       0.000  1349421.155  1349421.155 
    Ca[1].Ga[0..[3].Ma[5].ACC        0       0.000  1349449.869  1349449.869 
    Ca[1].Ga[0..[3].Ma[6].ACC        0       0.000  1349524.014  1349524.014 
    Ca[1].Ga[0..[3].Ma[7].ACC        0       0.000  1349586.674  1349586.674 
    Ca[1].Ga[0..[3].Ma[8].ACC        0       0.000  1349514.954  1349514.954 
    Ca[1].Ga[0..[3].Ma[9].ACC        0       0.000  1349414.136  1349414.136 
    Ca[1].Ga[0..3].Ma[10].ACC        0       0.000  1349458.036  1349458.036 
    Ca[1].Ga[0..3].Ma[11].ACC        0       0.000  1348101.083  1348101.083 
    Ca[1].Ga[1..[0].Ma[0].ACC        0       0.000  1348923.575  1348923.575 
    Ca[1].Ga[1..[0].Ma[1].ACC        0       0.000  1349471.564  1349471.564 
    Ca[1].Ga[1..[0].Ma[2].ACC        0       0.000  1349420.262  1349420.262 
    Ca[1].Ga[1..[0].Ma[3].ACC        0       0.000  1349440.936  1349440.936 
    Ca[1].Ga[1..[0].Ma[4].ACC        0       0.000  1349444.126  1349444.126 
    Ca[1].Ga[1..[0].Ma[5].ACC        0       0.000  1349470.670  1349470.670 
    Ca[1].Ga[1..[0].Ma[6].ACC        0       0.000  1349503.340  1349503.340 
    Ca[1].Ga[1..[0].Ma[7].ACC        0       0.000  1349387.081  1349387.081 
    Ca[1].Ga[1..[0].Ma[8].ACC        0       0.000  1349487.899  1349487.899 
    Ca[1].Ga[1..[0].Ma[9].ACC        0       0.000  1349476.668  1349476.668 
    Ca[1].Ga[1..0].Ma[10].ACC        0       0.000  1349476.668  1349476.668 
    Ca[1].Ga[1..0].Ma[11].ACC        0       0.000  1348124.819  1348124.819 
    Ca[1].Ga[1..[1].Ma[0].ACC        0       0.000  1348962.754  1348962.754 
    Ca[1].Ga[1..[1].Ma[1].ACC        0       0.000  1349350.200  1349350.200 
    Ca[1].Ga[1..[1].Ma[2].ACC        0       0.000  1349532.182  1349532.182 
    Ca[1].Ga[1..[1].Ma[3].ACC        0       0.000  1349644.995  1349644.995 
    Ca[1].Ga[1..[1].Ma[4].ACC        0       0.000  1349552.983  1349552.983 
    Ca[1].Ga[1..[1].Ma[5].ACC        0       0.000  1349493.003  1349493.003 
    Ca[1].Ga[1..[1].Ma[6].ACC        0       0.000  1349512.529  1349512.529 
    Ca[1].Ga[1..[1].Ma[7].ACC        0       0.000  1349613.729  1349613.729 
    Ca[1].Ga[1..[1].Ma[8].ACC        0       0.000  1349485.474  1349485.474 
    Ca[1].Ga[1..[1].Ma[9].ACC        0       0.000  1349549.410  1349549.410 
    Ca[1].Ga[1..1].Ma[10].ACC        0       0.000  1349573.019  1349573.019 
    Ca[1].Ga[1..1].Ma[11].ACC        0       0.000  1348199.858  1348199.858 
    Ca[1].Ga[1..[2].Ma[0].ACC        0       0.000  1348945.781  1348945.781 
    Ca[1].Ga[1..[2].Ma[1].ACC        0       0.000  1349484.581  1349484.581 
    Ca[1].Ga[1..[2].Ma[2].ACC        0       0.000  1349448.593  1349448.593 
    Ca[1].Ga[1..[2].Ma[3].ACC        0       0.000  1349381.083  1349381.083 
    Ca[1].Ga[1..[2].Ma[4].ACC        0       0.000  1349496.577  1349496.577 
    Ca[1].Ga[1..[2].Ma[5].ACC        0       0.000  1349407.372  1349407.372 
    Ca[1].Ga[1..[2].Ma[6].ACC        0       0.000  1349483.815  1349483.815 
    Ca[1].Ga[1..[2].Ma[7].ACC        0       0.000  1349540.222  1349540.222 
    Ca[1].Ga[1..[2].Ma[8].ACC        0       0.000  1349393.972  1349393.972 
    Ca[1].Ga[1..[2].Ma[9].ACC        0       0.000  1349413.625  1349413.625 
    Ca[1].Ga[1..2].Ma[10].ACC        0       0.000  1349402.012  1349402.012 
    Ca[1].Ga[1..2].Ma[11].ACC        0       0.000  1348060.500  1348060.500 
    Ca[1].Ga[1..[3].Ma[0].ACC        0       0.000  1349024.138  1349024.138 
    Ca[1].Ga[1..[3].Ma[1].ACC        0       0.000  1349533.968  1349533.968 
    Ca[1].Ga[1..[3].Ma[2].ACC        0       0.000  1349457.909  1349457.909 
    Ca[1].Ga[1..[3].Ma[3].ACC        0       0.000  1349374.319  1349374.319 
    Ca[1].Ga[1..[3].Ma[4].ACC        0       0.000  1349546.858  1349546.858 
    Ca[1].Ga[1..[3].Ma[5].ACC        0       0.000  1349568.297  1349568.297 
    Ca[1].Ga[1..[3].Ma[6].ACC        0       0.000  1349440.042  1349440.042 
    Ca[1].Ga[1..[3].Ma[7].ACC        0       0.000  1349463.907  1349463.907 
    Ca[1].Ga[1..[3].Ma[8].ACC        0       0.000  1349634.276  1349634.276 
    Ca[1].Ga[1..[3].Ma[9].ACC        0       0.000  1349512.018  1349512.018 
    Ca[1].Ga[1..3].Ma[10].ACC        0       0.000  1349451.655  1349451.655 
    Ca[1].Ga[1..3].Ma[11].ACC        0       0.000  1348211.344  1348211.344 
    Cm[0].Gm[0..[0].Mm[0].MUL        0       0.000  1351097.662  1351097.662 
    Cm[0].Gm[0..[0].Mm[1].MUL        0       0.000  1351090.132  1351090.132 
    Cm[0].Gm[0..[0].Mm[2].MUL        0       0.000  1351087.963  1351087.963 
    Cm[0].Gm[0..[0].Mm[3].MUL        0       0.000  1351095.875  1351095.875 
    Cm[0].Gm[0..[0].Mm[4].MUL        0       0.000  1351093.706  1351093.706 
    Cm[0].Gm[0..[0].Mm[5].MUL        0       0.000  1351089.367  1351089.367 
    Cm[0].Gm[0..[0].Mm[6].MUL        0       0.000  1351089.367  1351089.367 
    Cm[0].Gm[0..[0].Mm[7].MUL        0       0.000  1351091.536  1351091.536 
    Cm[0].Gm[0..[0].Mm[8].MUL        0       0.000  1351095.875  1351095.875 
    Cm[0].Gm[0..[0].Mm[9].MUL        0       0.000  1351081.455  1351081.455 
    Cm[0].Gm[0..0].Mm[10].MUL        0       0.000  1351085.793  1351085.793 
    Cm[0].Gm[0..0].Mm[11].MUL        0       0.000  1351089.367  1351089.367 
    Cm[0].Gm[0..[1].Mm[0].MUL        0       0.000  1351099.831  1351099.831 
    Cm[0].Gm[0..[1].Mm[1].MUL        0       0.000  1351087.963  1351087.963 
    Cm[0].Gm[0..[1].Mm[2].MUL        0       0.000  1351079.285  1351079.285 
    Cm[0].Gm[0..[1].Mm[3].MUL        0       0.000  1351087.197  1351087.197 
    Cm[0].Gm[0..[1].Mm[4].MUL        0       0.000  1351091.536  1351091.536 
    Cm[0].Gm[0..[1].Mm[5].MUL        0       0.000  1351087.197  1351087.197 
    Cm[0].Gm[0..[1].Mm[6].MUL        0       0.000  1351087.197  1351087.197 
    Cm[0].Gm[0..[1].Mm[7].MUL        0       0.000  1351093.706  1351093.706 
    Cm[0].Gm[0..[1].Mm[8].MUL        0       0.000  1351093.706  1351093.706 
    Cm[0].Gm[0..[1].Mm[9].MUL        0       0.000  1351085.793  1351085.793 
