============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 03 2021  09:52:50 pm
  Module:                 axis_conv_engine
  Technology libraries:   tcbn45gsbwpbc 120
                          physical_cells 
  Operating conditions:   BCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                     Module                        Cell Count  Cell Area  Net Area   Total Area 
      mul_74_23                      mult_unsigned_195_6820                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_125               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[12].MUL     multiplier_124                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6821                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_124               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[11].MUL     multiplier_123                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6822                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_123               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[10].MUL     multiplier_122                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6823                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_122               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[9].MUL      multiplier_121                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6824                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_121               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[8].MUL      multiplier_120                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6825                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_120               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[7].MUL      multiplier_119                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6827                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_119               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[8].Mm[6].MUL      multiplier_118                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6828                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_118               16     76.205     0.000       76.205 
