============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:02:13 am
  Module:                 axis_accelerator_asic
  Technology libraries:   scadv10_cln65gp_hvt_tt_1p0v_25c 1.0
                          physical_cells 
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                     Instance                                           Module                        Cell Count   Cell Area   Net Area   Total Area 
-----------------------------------------------------------------------------------------------------------------------------------------------------
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_221               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[30].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_222                                         139     554.000    229.862      783.862 
        ACC                                       accumulator_raw_222                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_222               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[3].Ma[20].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_308                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_308                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_308               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[3].Ma[21].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_309                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_309                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_309               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[3].Ma[22].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_310                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_310                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_310               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[3].Ma[23].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_311                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_311                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_311               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[3].Ma[24].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_312                                         139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_312                                         74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_312               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[3].Ma[25].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
