============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:02:18 am
  Module:                 axis_accelerator_asic
  Technology libraries:   scadv10_cln65gp_hvt_tt_1p0v_25c 1.0
                          physical_cells 
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                          
       Gate        Instances     Area                   Library              
SDFFQNX0P5MA10TH           3       30.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
SDFFQX0P5MA10TH         6558    65580.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
SDFFQX1MA10TH             53      572.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
SDFFQX2MA10TH             84      940.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
SDFFQX3MA10TH              6       72.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
SDFFRPQX0P5MA10TH          4       46.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
SDFFRPQX1MA10TH          112     1299.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
XNOR2X1MA10TH          15399    61596.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
XOR2X1MA10TH            8182    32728.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
XOR3X1MA10TH             673     5114.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
-----------------------------------------------------------------------------
total                 257965  1411084.000                                    


                                                          
            Type             Instances     Area    Area % 
----------------------------------------------------------
sequential                       76128  660616.800   46.8 
inverter                         14982   25477.600    1.8 
buffer                            3412    9013.600    0.6 
clock_gating_integrated_cell       836    6019.200    0.4 
unresolved                           2       0.000    0.0 
logic                           162607  709956.800   50.3 
physical_cells                       0       0.000    0.0 
----------------------------------------------------------
total                           257967 1411084.000  100.0 

