============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:03:24 am
  Module:                 axis_accelerator_asic
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage      Dynamic        Total     
             Instance               Cells  Power(nW)    Power(nW)     Power(nW)   
          REG                          25     367.441     47776.464     48143.905 
            RC_CG_HIER_INST90           1      11.593      3129.841      3141.434 
      Ca[0].Ga[0..SSING_ELEMENT       237    3803.536    256803.359    260606.895 
        MUL                           138    2153.666    145629.847    147783.513 
        ACC                            74    1318.290     87873.855     89192.145 
          REG                          25     367.524     47503.821     47871.345 
            RC_CG_HIER_INST108          1      11.593      3129.841      3141.434 
      Ca[0].Ga[0..SSING_ELEMENT       237    3803.536    256533.994    260337.530 
        MUL                           138    2153.666    145360.482    147514.148 
        ACC                            74    1318.290     87873.855     89192.145 
          REG                          25     367.524     47503.821     47871.345 
            RC_CG_HIER_INST73           1      11.593      3129.841      3141.434 
      Ca[0].Ga[0..SSING_ELEMENT       237    3803.536    256666.735    260470.272 
        MUL                           138    2153.666    145493.600    147647.266 
        ACC                            74    1318.290     87873.855     89192.145 
          REG                          25     367.524     47503.821     47871.345 
            RC_CG_HIER_INST56           1      11.593      3129.841      3141.434 
      Ca[0].Ga[0..SSING_ELEMENT       237    3803.536    256535.260    260338.796 
        MUL                           138    2153.666    145361.748    147515.414 
        ACC                            74    1318.290     87873.855     89192.145 
          REG                          25     367.524     47503.821     47871.345 
            RC_CG_HIER_INST39           1      11.593      3129.841      3141.434 
      Ca[0].Ga[0..SSING_ELEMENT       237    3803.536    256936.270    260739.807 
        MUL                           138    2153.666    145762.772    147916.438 
        ACC                            74    1318.290     87873.855     89192.145 
          REG                          25     367.524     47503.821     47871.345 
            RC_CG_HIER_INST22           1      11.593      3129.841      3141.434 
      Ca[0].Ga[0..SSING_ELEMENT       237    3803.536    256803.848    260607.384 
        MUL                           138    2153.666    145630.336    147784.002 
        ACC                            74    1318.290     87873.855     89192.145 
          REG                          25     367.524     47503.821     47871.345 
            RC_CG_HIER_INST5            1      11.593      3129.841      3141.434 
      Ca[0].Ga[0..SSING_ELEMENT       238    3803.482    197321.532    201125.015 
        MUL                           139    2152.423    110133.548    112285.971 
        ACC                            74    1314.955     76003.368     77318.323 
          REG                          25     363.661     39406.093     39769.754 
            RC_CG_HIER_INST91           1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       238    3803.482    197321.873    201125.355 
        MUL                           139    2152.423    110133.548    112285.971 
        ACC                            74    1314.955     76003.362     77318.317 
          REG                          25     363.661     39406.093     39769.754 
            RC_CG_HIER_INST102          1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       238    3803.482    197165.693    200969.176 
        MUL                           139    2152.423    109944.607    112097.030 
        ACC                            74    1314.955     76003.071     77318.026 
          REG                          25     363.661     39406.093     39769.754 
            RC_CG_HIER_INST62           1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       238    3803.482    197131.808    200935.290 
        MUL                           139    2152.423    109943.824    112096.246 
        ACC                            74    1314.955     76003.368     77318.323 
          REG                          25     363.661     39406.093     39769.754 
            RC_CG_HIER_INST47           1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       238    3803.482    197323.101    201126.584 
        MUL                           139    2152.423    110134.777    112287.199 
        ACC                            74    1314.955     76003.362     77318.317 
          REG                          25     363.661     39406.093     39769.754 
            RC_CG_HIER_INST31           1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       238    3803.482    197131.808    200935.290 
        MUL                           139    2152.423    109943.824    112096.246 
        ACC                            74    1314.955     76003.368     77318.323 
          REG                          25     363.661     39406.093     39769.754 
            RC_CG_HIER_INST16           1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       238    3803.482    197322.079    201125.562 
        MUL                           139    2152.423    110134.095    112286.518 
        ACC                            74    1314.955     76003.368     77318.323 
          REG                          25     363.661     39406.093     39769.754 
            RC_CG_HIER_INST0            1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       238    3803.382    197036.914    200840.297 
        MUL                           139    2152.423    110133.548    112285.971 
        ACC                            74    1314.899     75731.618     77046.517 
          REG                          25     363.630     39256.576     39620.205 
            RC_CG_HIER_INST92           1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       238    3803.382    197036.914    200840.297 
        MUL                           139    2152.423    110133.548    112285.971 
        ACC                            74    1314.899     75731.618     77046.517 
          REG                          25     363.630     39256.576     39620.205 
            RC_CG_HIER_INST77           1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       238    3803.382    196814.950    200618.333 
        MUL                           139    2152.423    109943.824    112096.246 
        ACC                            74    1314.899     75731.892     77046.791 
          REG                          25     363.630     39256.576     39620.205 
            RC_CG_HIER_INST48           1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       238    3803.382    197005.569    200808.951 
        MUL                           139    2152.423    110134.777    112287.199 
        ACC                            74    1314.899     75731.898     77046.797 
          REG                          25     363.630     39256.576     39620.205 
            RC_CG_HIER_INST32           1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       238    3803.382    196814.616    200617.998 
        MUL                           139    2152.423    109943.824    112096.246 
        ACC                            74    1314.899     75731.898     77046.797 
          REG                          25     363.630     39256.576     39620.205 
            RC_CG_HIER_INST17           1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.334    273073.084    276875.418 
        MUL                           138    2158.689    152184.621    154343.310 
        ACC                            74    1313.168     93184.955     94498.123 
          REG                          25     370.480     50903.290     51273.769 
            RC_CG_HIER_INST100          1      11.593      3125.838      3137.431 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.294    275468.838    279271.132 
        MUL                           138    2151.961    163702.647    165854.608 
        ACC                            74    1317.133     85783.390     87100.523 
          REG                          25     366.090     46081.414     46447.504 
            RC_CG_HIER_INST103          1      11.593      3137.432      3149.025 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.294    275803.887    279606.181 
        MUL                           138    2151.961    164037.696    166189.658 
        ACC                            74    1317.133     85783.390     87100.523 
          REG                          25     366.090     46081.414     46447.504 
            RC_CG_HIER_INST86           1      11.593      3137.432      3149.025 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.294    276125.878    279928.171 
        MUL                           138    2151.961    164359.601    166511.563 
        ACC                            74    1317.133     85783.390     87100.523 
          REG                          25     366.090     46081.414     46447.504 
            RC_CG_HIER_INST53           1      11.593      3137.432      3149.025 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.294    276205.359    280007.653 
        MUL                           138    2151.961    164439.168    166591.129 
        ACC                            74    1317.133     85783.390     87100.523 
          REG                          25     366.090     46081.414     46447.504 
            RC_CG_HIER_INST36           1      11.593      3137.432      3149.025 
      Ca[0].Ga[0..SSING_ELEMENT       237    3802.294    276019.149    279821.443 
