============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 08 2021  03:21:46 am
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpcgtc 200
                          tcbn45gsbwptc 120
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    
    Gate      Instances     Area         Library     
NR4D0BWP             90     111.132    tcbn45gsbwptc 
NR4D8BWP              1       3.704    tcbn45gsbwptc 
OA211D1BWP           19      26.813    tcbn45gsbwptc 
OA21D0BWP             2       2.470    tcbn45gsbwptc 
OA21D1BWP           456     563.069    tcbn45gsbwptc 
OA21D4BWP             2       5.292    tcbn45gsbwptc 
OA221D1BWP           95     184.338    tcbn45gsbwptc 
OA222D1BWP            2       4.234    tcbn45gsbwptc 
OA22D1BWP           437     693.781    tcbn45gsbwptc 
OA22D2BWP           142     275.537    tcbn45gsbwptc 
OA22D4BWP            42     133.358    tcbn45gsbwptc 
OA31D1BWP             2       2.822    tcbn45gsbwptc 
OAI211D1BWP          20      24.696    tcbn45gsbwptc 
OAI211D2BWP           6      12.701    tcbn45gsbwptc 
OAI211D4BWP           1       4.234    tcbn45gsbwptc 
OAI21D1BWP          866     916.574    tcbn45gsbwptc 
OAI21D2BWP          161     255.604    tcbn45gsbwptc 
OAI21D4BWP          124     393.725    tcbn45gsbwptc 
OAI221D1BWP          32      50.803    tcbn45gsbwptc 
OAI221D2BWP           1       2.822    tcbn45gsbwptc 
OAI221D4BWP           3       8.467    tcbn45gsbwptc 
OAI222D1BWP           4       7.762    tcbn45gsbwptc 
OAI22D1BWP        17763   21933.752    tcbn45gsbwptc 
OAI22D2BWP          215     455.112    tcbn45gsbwptc 
OAI22D4BWP           16      67.738    tcbn45gsbwptc 
OAI31D1BWP            6       7.409    tcbn45gsbwptc 
OAI31D2BWP            1       2.117    tcbn45gsbwptc 
OAI32D1BWP            6       8.467    tcbn45gsbwptc 
OR2D1BWP            476     503.798    tcbn45gsbwptc 
OR2D2BWP             67      82.732    tcbn45gsbwptc 
OR2D4BWP             51     107.957    tcbn45gsbwptc 
OR2D8BWP              3      10.584    tcbn45gsbwptc 
OR2XD1BWP           550     582.120    tcbn45gsbwptc 
OR3D1BWP             11      13.583    tcbn45gsbwptc 
OR3XD1BWP             2       2.470    tcbn45gsbwptc 
OR4D1BWP             14      19.757    tcbn45gsbwptc 
